Zip Code,Population
30043,"91,378"
30044,"89,139"
30024,"79,000"
30349,"74,590"
30040,"72,909"
30127,"70,298"
30041,"69,117"
30022,"68,945"
30096,"68,691"
30052,"68,563"
30281,"68,456"
30135,"67,710"
30331,"66,658"
30047,"65,937"
30062,"65,801"
30004,"65,294"
30188,"64,836"
30263,"59,799"
30058,"59,751"
30906,"59,609"
30101,"59,515"
31419,"58,800"
31907,"57,967"
30083,"57,137"
31088,"57,094"
30080,"57,067"
30144,"56,781"
30093,"56,290"
30318,"56,109"
30066,"55,937"
30016,"55,279"
30114,"54,709"
30721,"53,960"
30253,"53,958"
30518,"53,780"
30075,"53,779"
30907,"52,252"
30236,"51,199"
30064,"49,256"
30157,"48,978"
30019,"48,782"
30809,"48,525"
30034,"48,253"
30252,"48,203"
30032,"47,980"
30039,"47,778"
30519,"47,685"
30076,"46,742"
30097,"46,609"
30067,"46,536"
30606,"45,457"
30680,"44,800"
30813,"44,459"
30458,"44,329"
30228,"44,031"
30506,"43,765"
30126,"43,486"
30134,"43,402"
31061,"43,123"
30152,"43,030"
30045,"43,018"
30319,"43,011"
30115,"42,934"
30132,"42,607"
30736,"42,604"
30294,"42,484"
30102,"42,278"
30815,"41,629"
30605,"41,593"
30909,"41,261"
30701,"40,974"
30120,"40,945"
31313,"40,467"
30060,"40,290"
30087,"39,586"
30038,"39,514"
30005,"39,420"
31909,"39,151"
30238,"39,084"
30350,"39,075"
30189,"38,809"
30328,"38,648"
30084,"38,374"
30014,"38,041"
31405,"37,399"
30046,"37,338"
30542,"37,185"
30180,"36,888"
30215,"36,879"
31602,"36,626"
30223,"36,501"
30269,"36,489"
30311,"36,389"
30092,"36,034"
30338,"35,903"
30274,"35,861"
30117,"35,620"
30078,"35,601"
31406,"35,227"
30315,"35,143"
30265,"35,096"
31210,"34,230"
30161,"34,159"
30705,"34,031"
30213,"33,926"
30316,"33,670"
30008,"33,637"
30094,"33,579"
30033,"32,847"
31404,"32,816"
31904,"32,717"
30344,"32,690"
30341,"32,601"
30068,"32,453"
31705,"31,935"
30501,"31,127"
30342,"30,873"
30030,"30,608"
31601,"30,597"
30507,"30,499"
31525,"30,257"
30088,"30,132"
31204,"29,765"
30214,"29,577"
30534,"29,530"
30240,"29,320"
30297,"28,966"
30310,"28,664"
30012,"28,591"
30741,"28,520"
30329,"28,383"
30296,"28,169"
31794,"28,119"
31021,"27,976"
30082,"27,840"
30324,"27,806"
30340,"27,796"
30720,"27,414"
31093,"27,313"
30504,"27,202"
30028,"27,120"
30533,"27,113"
31324,"26,684"
30013,"26,555"
30309,"26,526"
30655,"26,516"
30224,"26,453"
30248,"26,317"
31206,"26,216"
31322,"26,126"
30122,"26,015"
30168,"25,803"
30345,"25,797"
30549,"25,530"
31707,"25,405"
30071,"25,386"
30260,"25,368"
30241,"25,283"
30528,"25,280"
30904,"25,175"
30116,"25,169"
30314,"24,974"
30312,"24,782"
30121,"24,742"
31410,"24,727"
30305,"24,551"
31763,"24,352"
30601,"24,267"
30125,"24,052"
30306,"23,973"
30339,"23,960"
30233,"23,821"
30141,"23,733"
31792,"23,572"
30021,"23,493"
31605,"23,437"
30017,"23,415"
30035,"23,223"
30143,"23,206"
30277,"23,058"
31768,"23,016"
30327,"22,893"
31520,"22,847"
30286,"22,143"
30106,"21,718"
31548,"21,680"
30291,"21,639"
31558,"21,586"
30512,"21,541"
31015,"21,466"
31326,"20,933"
31312,"20,873"
30577,"20,814"
31024,"20,626"
31721,"20,600"
30728,"20,426"
31906,"20,349"
31503,"20,344"
31069,"20,296"
30307,"20,036"
31401,"19,839"
30548,"19,796"
30540,"19,634"
30308,"18,839"
31701,"18,699"
30153,"18,688"
30677,"18,450"
30179,"18,176"
31008,"18,046"
31750,"17,998"
31005,"17,961"
31030,"17,926"
31903,"17,922"
30009,"17,371"
30824,"17,266"
31533,"17,087"
30474,"16,913"
31216,"16,802"
31522,"16,745"
30707,"16,593"
31217,"16,484"
30901,"16,338"
31029,"16,322"
31545,"16,119"
31513,"16,105"
30276,"16,028"
30517,"15,909"
30747,"15,902"
30360,"15,856"
30011,"15,806"
31709,"15,802"
30103,"15,787"
30354,"15,680"
31032,"15,580"
31501,"15,441"
30656,"15,284"
31211,"15,261"
30643,"15,166"
30273,"15,015"
30635,"14,996"
31516,"14,953"
31047,"14,908"
31220,"14,859"
31539,"14,733"
39828,"14,477"
31023,"14,315"
30620,"14,228"
31316,"14,117"
30337,"13,962"
30830,"13,927"
30461,"13,882"
31407,"13,879"
30110,"13,835"
30317,"13,820"
30401,"13,740"
31523,"13,651"
30107,"13,517"
31632,"13,483"
31014,"13,180"
30204,"13,151"
30427,"12,571"
30523,"12,465"
30642,"12,392"
30054,"12,318"
31415,"12,209"
30467,"12,184"
30513,"12,108"
31036,"12,077"
30650,"12,020"
31791,"11,894"
30436,"11,879"
30622,"11,846"
31820,"11,750"
30313,"11,415"
30529,"11,358"
31636,"11,005"
30453,"10,936"
30531,"10,924"
31757,"10,905"
31535,"10,893"
30666,"10,876"
31537,"10,858"
31620,"10,835"
30439,"10,819"
30417,"10,768"
39819,"10,659"
31329,"10,499"
30607,"10,474"
31408,"10,371"
30268,"10,298"
39817,"10,201"
31779,"10,092"
31639,"9,943"
30230,"9,882"
29927,"9,829"
30755,"9,784"
31510,"9,730"
31082,"9,728"
30025,"9,679"
30217,"9,537"
31064,"9,478"
31788,"9,434"
31793,"9,208"
31411,"9,076"
31719,"9,036"
31052,"9,028"
30633,"8,979"
30662,"8,941"
30536,"8,864"
31027,"8,803"
30290,"8,798"
30288,"8,749"
30814,"8,673"
