Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
00601,18088.0,37.1,10833.0,7229.0,10911.0
00602,40859.0,39.0,16353.0,9048.0,21724.0
00603,53162.0,39.2,16323.0,9888.0,26027.0
00606,6415.0,39.2,14138.0,6385.0,3778.0
00610,28805.0,39.7,17265.0,8197.0,14149.0
00612,66251.0,39.3,17752.0,10201.0,30858.0
00616,10466.0,41.6,15115.0,8533.0,5174.0
00617,24917.0,36.6,15461.0,8024.0,13399.0
00622,6589.0,41.6,14993.0,9611.0,3963.0
00623,44117.0,40.2,17044.0,9075.0,21791.0
00624,24902.0,34.8,15467.0,6981.0,14829.0
00627,34438.0,38.4,19490.0,9493.0,15178.0
00631,1847.0,40.8,9613.0,5474.0,1075.0
00637,24799.0,38.9,14977.0,7988.0,12537.0
00638,18365.0,38.0,12588.0,6660.0,10921.0
00641,30183.0,39.2,15542.0,7701.0,16240.0
00646,38305.0,38.0,27924.0,14753.0,13785.0
00647,5245.0,46.6,13668.0,7388.0,2882.0
00650,14679.0,37.3,15090.0,7170.0,7947.0
00652,3831.0,39.9,14903.0,10640.0,1873.0
00653,13427.0,36.7,13596.0,6347.0,9128.0
00656,20839.0,37.2,15440.0,7561.0,11290.0
00659,41830.0,38.4,19130.0,9632.0,19270.0
00660,17023.0,43.0,21323.0,10700.0,6039.0
00662,43101.0,38.9,16050.0,8584.0,23452.0
00664,16298.0,34.5,15976.0,7410.0,9264.0
00667,25510.0,41.0,13527.0,6946.0,15260.0
00669,28442.0,38.3,11967.0,7109.0,16781.0
00670,9478.0,38.0,14989.0,6979.0,5301.0
00674,43240.0,38.5,18796.0,10347.0,19424.0
00676,39513.0,36.9,15277.0,7833.0,20809.0
00677,15012.0,41.7,16737.0,9339.0,7557.0
00678,27045.0,38.4,14824.0,7472.0,15616.0
00680,54824.0,38.9,15173.0,9243.0,26982.0
00682,31908.0,35.9,15868.0,11364.0,16249.0
00683,33050.0,41.3,15030.0,9215.0,15631.0
00685,41403.0,40.5,14686.0,7390.0,23407.0
00687,32484.0,34.3,16086.0,7722.0,17926.0
00688,13251.0,40.0,14135.0,7376.0,7051.0
00690,5906.0,35.0,19688.0,10396.0,2465.0
00692,37329.0,35.6,18003.0,10111.0,18621.0
00693,59513.0,38.0,16709.0,9188.0,29692.0
00694,134.0,64.8,11250.0,8541.0,109.0
00698,40276.0,39.9,15414.0,7873.0,20686.0
00703,28739.0,36.0,14968.0,8126.0,15730.0
00704,8100.0,34.2,12341.0,7142.0,4498.0
00705,25090.0,38.3,16744.0,8668.0,12406.0
00707,11904.0,40.3,17866.0,8436.0,6682.0
00714,19229.0,36.2,15901.0,8006.0,9925.0
00715,3714.0,41.5,13534.0,10362.0,2425.0
00716,31362.0,38.8,18609.0,12879.0,15061.0
00717,18176.0,33.2,11692.0,8941.0,10955.0
00718,26786.0,35.1,18247.0,9757.0,14331.0
00719,30772.0,36.4,17592.0,9386.0,15235.0
00720,22862.0,36.0,14578.0,6970.0,13411.0
00723,18766.0,40.5,14343.0,7745.0,10592.0
00725,88152.0,38.1,20704.0,11448.0,37001.0
00727,57036.0,38.3,29304.0,15475.0,17390.0
00728,42333.0,35.9,17689.0,9185.0,20622.0
00729,54198.0,35.9,21243.0,10328.0,23004.0
00730,36201.0,38.7,15459.0,10514.0,19153.0
00731,14320.0,41.3,15894.0,8360.0,7769.0
00735,13203.0,39.3,20450.0,10627.0,5728.0
00736,51116.0,38.6,21023.0,11989.0,21583.0
00738,33835.0,38.7,20917.0,10753.0,14647.0
00739,38424.0,37.2,23629.0,11931.0,14366.0
00740,1704.0,29.8,13077.0,7366.0,996.0
00741,5365.0,40.5,19237.0,8572.0,2406.0
00745,54253.0,38.1,22694.0,10489.0,21407.0
00751,23020.0,36.7,14236.0,8182.0,13548.0
00754,40022.0,38.1,17192.0,9975.0,19459.0
00757,23114.0,35.0,16344.0,8863.0,11750.0
00765,9139.0,42.0,18297.0,8641.0,3760.0
00766,25549.0,35.1,17210.0,8223.0,13729.0
00767,36962.0,38.6,16664.0,7866.0,19030.0
00769,39871.0,36.6,18053.0,9384.0,19698.0
00771,38435.0,36.5,19869.0,9804.0,18258.0
00772,21682.0,36.0,16118.0,7477.0,11832.0
00773,19731.0,39.3,18256.0,10495.0,8793.0
00775,1585.0,37.0,18167.0,9041.0,696.0
00777,40863.0,35.4,19398.0,9582.0,18671.0
00778,46569.0,36.2,27872.0,14491.0,16168.0
00780,13678.0,37.8,22197.0,14001.0,5124.0
