Zipcode,City,GeoCode,County,State,Metro,Column6
30002,Avondale Est,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30002,Avondale Estates,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30003,Norcross,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30004,Alpharetta,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30004,Milton,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30005,Alpharetta,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30005,Johns Creek,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30006,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30007,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30008,Marietta,770/678/470,Cobb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30009,Alpharetta,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30009,Milton,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30010,Norcross,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30011,Auburn,770/678/470,Barrow County,Georgia - GA,"Atlanta,GA (0520)",MSA
30012,Conyers,770/678/470,Rockdale County,Georgia - GA,"Atlanta,GA (0520)",MSA
30013,Conyers,770/678/470,Rockdale County,Georgia - GA,"Atlanta,GA (0520)",MSA
30014,Covington,770/678/470,Newton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30014,Porterdale,770/678/470,Newton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30015,Covington,770/678/470,Newton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30016,Covington,770/678/470,Newton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30016,Porterdale,770/678/470,Newton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30017,Grayson,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30018,Jersey,770/678/470,Walton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30019,Dacula,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30021,Clarkston,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30022,Alpharetta,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30022,Johns Creek,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30023,Alpharetta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30024,Johns Creek,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30024,Suwanee,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30025,Social Circle,770/678/470,Walton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30026,Duluth,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30026,North Metro,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30028,Cumming,770/678/470,Forsyth County,Georgia - GA,"Atlanta,GA (0520)",MSA
30029,Duluth,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30029,North Metro,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30030,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30031,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30032,Belvedere,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30032,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30032,Dunaire,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30033,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30033,North Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30033,Vista Grove,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30034,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30035,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30035,Snapfinger,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30036,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30037,Decatur,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30038,Lithonia,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30039,Centerville Branch,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30039,Snellville,770/678/470,Gwinnett County,Georgia - GA,"Atlanta,GA (0520)",MSA
30040,Cumming,770/678/470,Forsyth County,Georgia - GA,"Atlanta,GA (0520)",MSA
