Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Year,Zipcode_Year
30002,6123,36.8,50174,35407,1401,2013,30002_2013
30002,5925,37.8,47297,35901,1249,2014,30002_2014
30002,5835,39.8,47386,38291,1134,2015,30002_2015
30002,5866,40.5,48403,38995,1243,2016,30002_2016
30002,5669,42.5,56750,43538,928,2017,30002_2017
30002,5920,42,59931,46123,944,2018,30002_2018
30002,6054,42,68679,48645,824,2019,30002_2019
30004,54714,36.7,95922,47376,2448,2013,30004_2013
30004,59106,37,96036,47025,2786,2014,30004_2014
30004,60229,37.3,97234,47697,3532,2015,30004_2015
30004,61418,37.8,100666,50151,3705,2016,30004_2016
30004,63135,37.5,107423,53158,3677,2017,30004_2017
30004,64232,38,111925,57107,3414,2018,30004_2018
30004,65294,38.4,119859,61267,2605,2019,30004_2019
30005,37014,35.7,102230,43754,1245,2013,30005_2013
30005,38030,35.6,102174,44227,1301,2014,30005_2014
30005,38887,35,106516,47434,1741,2015,30005_2015
30005,40526,36.3,119411,47467,1807,2016,30005_2016
30005,40488,37.3,127340,50979,1922,2017,30005_2017
30005,40056,37.6,127764,54106,1702,2018,30005_2018
30005,39420,38.1,128578,56982,1652,2019,30005_2019
30008,32366,31.2,42707,20113,7730,2013,30008_2013
30008,32050,31.5,44246,21210,7559,2014,30008_2014
30008,32905,31,46068,21845,7661,2015,30008_2015
30008,33900,31.1,44509,21566,7888,2016,30008_2016
30008,33276,31.2,45907,21529,7244,2017,30008_2017
30008,31982,32,47702,23201,5849,2018,30008_2018
30008,33637,32.3,51878,23798,5634,2019,30008_2019
30009,14584,38.3,72798,36235,965,2013,30009_2013
30009,14586,38.6,75379,39258,1268,2014,30009_2014
30009,14759,39.2,78308,40872,1430,2015,30009_2015
30009,14934,38.7,75725,42516,1402,2016,30009_2016
30009,15585,40.8,79933,48441,1458,2017,30009_2017
30009,16097,40.2,91811,51226,1258,2018,30009_2018
30009,17371,40.6,105890,55695,864,2019,30009_2019
30011,15328,34.7,53907,22215,1975,2013,30011_2013
30011,14997,35.2,58146,23116,1954,2014,30011_2014
30011,14600,35.9,57063,22805,1985,2015,30011_2015
30011,15631,34.3,59442,21602,2206,2016,30011_2016
30011,15766,33.9,60469,23336,1873,2017,30011_2017
30011,15428,34.6,62283,23901,1883,2018,30011_2018
30011,15806,35.5,66027,25755,1825,2019,30011_2019
30012,27342,34.1,42890,19244,5778,2013,30012_2013
30012,27479,33.7,41987,19038,5620,2014,30012_2014
30012,27233,34.1,38745,17409,6428,2015,30012_2015
