RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
102001,0,United States,Country,,1274969,1230672,1277467,1354939,1449921,1521358,1572505,1598681,1589958,1570403,1515811,1424842,1340422,1292290,1330740,1390700,1476956,1547475,1594141,1608320,1592597,1564197,1494928,1387232,1290244,1241517,1261856,1250952,1270197,1266094,1280957,1246379,1198831,1158572,1086704,989396,902839,830248,820652,810296,849822,883903
394913,1,"New York, NY",Msa,NY,51751,50168,52633,57509,62876,67104,69338,69461,68500,67527,65227,61024,56841,55107,57855,62519,67822,71513,72809,71917,70425,68436,65172,59482,54375,52224,53662,52213,51401,51429,55195,56881,56477,54833,51501,46085,40696,37363,36570,37068,38714,40847
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,16656,16503,18089,19702,21373,22723,24106,24951,25353,25480,24979,23445,21991,21201,22168,23216,24593,25393,25970,25848,25435,24685,23103,20554,18422,17811,18447,18252,18507,19171,20694,21287,21449,21410,20592,18793,17066,16157,16709,17099,17604,17744
394463,3,"Chicago, IL",Msa,IL,35206,33523,35946,39450,43165,45470,47302,48280,48163,47497,45187,41251,37339,35761,38072,41726,45586,48175,49699,50401,50300,49515,46819,42349,38394,37093,38418,38281,38466,38622,40206,40298,39250,38153,35761,32264,28849,26537,27186,28574,31363,33437
394514,4,"Dallas-Fort Worth, TX",Msa,TX,23215,22157,23255,25590,28298,30644,32541,33685,33719,32863,31635,29711,28249,27545,28988,30838,33181,35556,37593,38622,38026,36862,35136,32791,30683,29796,30455,30585,31535,32005,32765,31523,29473,28256,26618,24704,22369,20264,19857,19654,20693,21426
394974,5,"Philadelphia, PA",Msa,PA,25088,23906,24967,27155,29277,30201,29797,28998,28433,28415,27864,26325,24607,23494,24466,26220,28282,29530,30206,29805,29151,28237,27064,24922,22689,21589,21661,20530,20232,20403,21735,21731,20941,20346,19346,17711,16115,14894,15243,15898,17368,18300
394692,6,"Houston, TX",Msa,TX,31777,30934,32486,34495,37264,38930,40218,40647,39921,38911,37414,35837,34847,34528,36029,37530,39575,41774,43620,44655,43823,42504,40664,38787,37541,37342,38359,38422,39041,38807,38768,37058,35077,33496,31460,29320,27674,26151,25856,24733,24784,24773
395209,7,"Washington, DC",Msa,DC,20509,19295,20749,24039,26938,26903,25327,23709,23477,23534,22726,20490,17750,16128,17158,19553,22519,24354,24900,24205,23550,23064,21984,19501,17178,16203,17318,17805,18456,18114,18420,18030,17860,17716,16990,15359,13760,12804,13739,15200,17304,18446
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,29335,30088,31667,32404,32770,32373,31965,31673,31476,31803,32101,32228,32884,33921,35538,35951,35855,35170,34492,33579,32698,32288,31923,31415,31327,31630,32281,31265,30685,29991,29705,28372,26878,25881,24803,23660,22551,20601,18782,16616,16051,15722
394347,9,"Atlanta, GA",Msa,GA,27491,26389,27430,28736,30231,31503,32725,33643,33538,33288,32430,31024,29852,30676,32324,33952,34796,36368,37715,38504,38395,38074,36809,34869,33295,32711,33657,33998,35141,35171,34855,33221,31212,29810,27749,25499,23563,21799,21357,20424,20746,21329
394404,10,"Boston, MA",Msa,MA,7479,6682,7037,8217,9936,11381,12193,12217,12344,12507,12147,10684,9061,8109,8570,9641,11381,12634,13013,12429,12013,11933,11368,9659,7796,6942,7362,7635,8254,8732,9345,9196,8810,8484,7705,6273,4895,4128,4530,5263,6110,6626
