Month,Inventory Volume,Month Year,Month,Year,YearMonth
1/31/2018,27491,Jan 2018,1,2018,201801
2/28/2018,26389,Feb 2018,2,2018,201802
3/31/2018,27430,Mar 2018,3,2018,201803
4/30/2018,28736,Apr 2018,4,2018,201804
5/31/2018,30231,May 2018,5,2018,201805
6/30/2018,31503,Jun 2018,6,2018,201806
7/31/2018,32725,Jul 2018,7,2018,201807
8/31/2018,33643,Aug 2018,8,2018,201808
9/30/2018,33538,Sep 2018,9,2018,201809
10/31/2018,33288,Oct 2018,10,2018,201810
11/30/2018,32430,Nov 2018,11,2018,201811
12/31/2018,31024,Dec 2018,12,2018,201812
1/31/2019,29852,Jan 2019,1,2019,201901
2/28/2019,30676,Feb 2019,2,2019,201902
3/31/2019,32324,Mar 2019,3,2019,201903
4/30/2019,33952,Apr 2019,4,2019,201904
5/31/2019,34796,May 2019,5,2019,201905
6/30/2019,36368,Jun 2019,6,2019,201906
7/31/2019,37715,Jul 2019,7,2019,201907
8/31/2019,38504,Aug 2019,8,2019,201908
9/30/2019,38395,Sep 2019,9,2019,201909
10/31/2019,38074,Oct 2019,10,2019,201910
11/30/2019,36809,Nov 2019,11,2019,201911
12/31/2019,34869,Dec 2019,12,2019,201912
1/31/2020,33295,Jan 2020,1,2020,202001
2/29/2020,32711,Feb 2020,2,2020,202002
3/31/2020,33657,Mar 2020,3,2020,202003
4/30/2020,33998,Apr 2020,4,2020,202004
5/31/2020,35141,May 2020,5,2020,202005
6/30/2020,35171,Jun 2020,6,2020,202006
7/31/2020,34855,Jul 2020,7,2020,202007
8/31/2020,33221,Aug 2020,8,2020,202008
9/30/2020,31212,Sep 2020,9,2020,202009
10/31/2020,29810,Oct 2020,10,2020,202010
11/30/2020,27749,Nov 2020,11,2020,202011
12/31/2020,25499,Dec 2020,12,2020,202012
1/31/2021,23563,Jan 2021,1,2021,202101
2/28/2021,21799,Feb 2021,2,2021,202102
3/31/2021,21357,Mar 2021,3,2021,202103
4/30/2021,20424,Apr 2021,4,2021,202104
5/31/2021,20746,May 2021,5,2021,202105
6/30/2021,21329,Jun 2021,6,2021,202106
