RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
102001,0,United States,Country,,168422,169422,170526,171672,172881,174148,175448,176750,178014,179217,180300,181305,182243,183152,183871,184466,185005,185601,186184,186695,187194,187775,188486,189232,189947,190679,191533,192421,193320,194122,194916,195763,196641,197499,198273,199126,200055,201014,201870,202761,203670,204652,205661,206681,207710,208746,209855,210941,212007,213051,214167,215329,216479,217636,218743,219874,221048,222287,223557,224816,226030,227277,228532,229799,231054,232248,233365,234353,235234,236046,236846,237704,238648,239544,240362,241127,241959,242807,243557,244180,244736,245299,245884,246640,247676,248920,250374,251824,252920,253831,254969,256795,259076,261630,264470,267498,270644,274042,277742,281942,286922,292618
394913,1,"New York, NY",Msa,NY,374680,375483,376297,377715,379229,380767,382401,384021,385821,387799,389715,391375,393210,394750,396397,397425,398445,399362,400176,401011,401724,402350,402705,403386,404027,405044,405671,406573,407265,408230,409050,409840,410676,411552,412922,413997,414762,415400,416264,417555,418597,419589,420676,421982,423417,424950,426470,428119,430079,431758,433600,434893,437134,439399,442135,444571,446760,448649,450323,452054,454171,456640,459184,461772,463824,465677,466729,467775,468833,470255,471631,472816,473624,474376,475210,476234,477204,477928,478336,478413,477770,476829,475944,476060,477165,478878,481046,483391,485397,486960,488940,491994,496572,501668,507273,512734,518125,523666,529515,535920,543563,552630
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,443957,452740,462098,472385,481321,489999,497592,506504,514377,520401,525562,529167,533333,534087,534396,533802,534233,534723,536373,536227,536840,537562,540565,543248,546774,550917,555279,557826,560508,563247,566051,569273,572603,576629,579338,584053,586679,590144,592049,596232,599896,603123,605908,609566,613546,617428,620327,622129,625818,628491,632198,634464,638221,642007,645567,648533,651533,654608,659595,664844,669236,673839,678156,682651,685518,688404,689751,689839,688734,689084,689776,689609,689174,687242,685978,685986,688731,691820,692631,692598,693361,695062,696894,700037,705219,712513,720968,727111,726933,724937,726834,734233,742035,749394,757361,766190,775220,785003,795369,808949,828791,852258
394463,3,"Chicago, IL",Msa,IL,183071,184320,185152,186413,187344,189133,190793,193074,195015,197217,198340,199781,200558,201841,202386,202589,203054,203979,204961,205428,206077,206388,207061,207492,207919,208022,208666,209751,210737,210925,211125,211381,211761,212049,212435,213057,213806,215034,216013,216805,217396,218241,219350,220373,221209,222017,223047,224190,225500,226583,227911,229068,230122,230818,231341,232072,232971,234161,235247,236446,237568,238419,238911,239463,240213,241239,241943,242551,243047,243409,243849,244115,244457,244853,245388,245980,246633,247041,247268,247170,246671,246105,245791,245913,246726,247255,248180,248548,249143,249562,250587,252011,254149,256564,259012,261470,263669,266477,269341,273020,276878,281406
394514,4,"Dallas-Fort Worth, TX",Msa,TX,152394,153028,153854,154734,155804,156877,158032,159175,160492,161814,163137,164322,165252,166264,167113,167976,168789,169770,170510,171562,172488,173741,174932,176243,177780,179254,180945,182579,184290,185979,187758,189309,190774,192141,193664,195351,196941,198540,200083,201808,203671,205441,207409,209103,210849,212495,214327,216210,217868,219593,221073,222768,224355,226010,227448,228965,230723,232621,234365,235802,237190,238808,240638,242325,243732,245095,246285,247395,248128,249012,250047,251457,253067,254056,254635,254756,255123,255315,255655,256067,256830,257030,257459,257676,258921,260010,261413,262138,262655,263308,264454,266224,268146,270756,273571,276920,279877,283763,288152,294004,300695,308155
394974,5,"Philadelphia, PA",Msa,PA,207526,207762,208121,208631,209394,210303,211218,211983,212770,213420,214032,214421,214883,215352,215582,215371,215314,215426,215689,215654,215599,215703,215979,216373,216599,216797,217187,217777,218118,218208,218343,218744,219122,219260,219303,219290,219434,219722,219992,220425,220912,221757,222467,223175,223772,224530,225284,226227,227242,228066,228642,229115,229815,230526,231176,231911,232738,233835,234833,235808,236592,237681,239052,240457,241520,242314,243034,243609,244285,244781,245612,246331,247259,248038,249126,249960,250812,251325,251956,252398,252679,252782,253064,253668,254642,255894,256896,258436,259638,261347,263033,265493,268308,271560,274819,278209,281606,285186,289182,293314,298273,303553
394692,6,"Houston, TX",Msa,TX,150256,151118,152494,154106,155645,156914,158142,159422,160806,162349,163877,165303,166646,167979,168946,169791,170608,171936,173432,175186,176894,178402,179756,181157,182510,183761,185186,186640,188023,189102,189851,190493,191139,192080,192809,193457,194308,195132,195660,195898,196459,197126,197952,198451,198909,199220,200017,200932,201445,202009,202671,203459,203917,204358,204794,205195,205636,206151,206716,207246,207817,208292,208893,209921,211028,211930,212590,213543,214485,215278,215760,216292,217365,218306,219058,219211,219573,220024,220610,221030,221142,221505,221860,222391,222538,222962,224170,225618,226653,226863,227129,227879,229443,231100,233177,235432,238076,240964,243686,246858,250733,255814
395209,7,"Washington, DC",Msa,DC,366093,368304,370213,372059,374673,377133,379652,382311,385686,388572,391007,392472,394026,395524,396781,397812,397947,398052,398225,398409,398524,398483,398564,398742,398495,399061,399872,400319,400529,400764,401222,401500,401588,402096,402533,403302,403886,403570,403531,404400,406433,407948,409113,410001,411382,412441,413583,415045,417080,419619,421049,421944,421901,422696,423696,425455,426882,428518,430201,431127,431851,432278,433802,435502,437730,439523,440975,441534,441834,442164,442509,443815,445503,447588,448989,449787,450554,451414,451867,452585,453375,454834,456379,457785,459033,460358,461991,464059,465711,468032,471420,475613,480040,484356,489078,494106,499666,505616,512131,519294,527483,535911
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,201346,204130,207143,210613,213813,216680,219648,222727,226044,229196,233119,236837,240268,242575,244843,246234,248104,249845,252074,253754,255234,256941,257919,259257,260351,262375,263975,265868,267387,269111,270409,272019,273985,275785,277944,279814,282006,283806,285564,287424,289315,291657,293994,296016,297576,299111,300968,302908,304694,306302,307633,309291,310880,312396,313780,315769,317812,320052,321098,322431,323388,325386,327594,329436,331423,332897,334681,335783,336717,337198,338909,340446,342094,342029,342391,343000,343404,344101,344533,344842,344962,345557,346374,346794,347622,350104,352227,354410,355474,356514,357277,359095,361991,365039,367986,371783,375826,379767,384364,389518,396390,404051
394347,9,"Atlanta, GA",Msa,GA,140185,141939,143709,145380,147206,149134,151065,153276,155704,158091,160021,161985,163579,165030,166019,167051,167897,168666,169645,170496,171396,172156,173002,173797,174616,175395,176067,176847,177864,179077,180033,181025,181987,182908,183767,184514,185575,186629,188039,189410,190613,191451,192183,193025,193762,194815,195961,197431,198507,199701,200799,202020,203294,204804,206430,207827,209448,210926,212612,214255,216202,218053,219558,220974,222471,224168,225834,227455,229012,230598,232026,233178,234155,235084,236450,237806,239083,239742,240369,241138,241968,242670,243365,244295,245584,247051,248530,249880,250902,251974,253236,255006,257205,259824,262855,266279,269915,273947,278358,283482,289553,296585
