Zipcode,Year,Average House Price
30349,2013,80892.08333
30349,2014,98395.41667
30349,2015,106951.4167
30349,2016,116409.8333
30349,2017,129494.5833
30349,2018,142992.4167
30349,2019,158115.3333
30349,2020,170837.0833
30349,2021,190077.6667
30044,2013,121165
30044,2014,143364.5833
30044,2015,153810.1667
30044,2016,166081.0833
30044,2017,181585.25
30044,2018,199824.3333
30044,2019,214027.5833
30044,2020,229088.5
30044,2021,258131.5
30043,2013,165054.1667
30043,2014,185548.8333
30043,2015,194663.4167
30043,2016,206903.75
30043,2017,221339.25
30043,2018,239188
30043,2019,251956
30043,2020,265893.9167
30043,2021,299895.3333
30096,2013,155881.25
30096,2014,177624.9167
30096,2015,187460.9167
30096,2016,201543.25
30096,2017,216611.4167
30096,2018,235921.6667
30096,2019,250680.6667
30096,2020,264996.0833
30096,2021,295920
30024,2013,268330.4167
30024,2014,294169.5
30024,2015,306868.8333
30024,2016,323844.25
30024,2017,342600.1667
30024,2018,361869.9167
30024,2019,372064.0833
30024,2020,383159.0833
30024,2021,423941.1667
30281,2013,106636.0833
30281,2014,125374.5833
30281,2015,134833.5
30281,2016,141093.6667
30281,2017,151809.0833
30281,2018,163430.4167
30281,2019,174927.25
30281,2020,191922.1667
30281,2021,214713.1667
30040,2013,253953.5833
30040,2014,276870.4167
30040,2015,294074.75
30040,2016,305997.6667
30040,2017,319697.4167
30040,2018,337200.25
30040,2019,345780
30040,2020,360127.1667
30040,2021,404036.1667
30318,2013,125278.8333
30318,2014,146799.25
30318,2015,161249.1667
30318,2016,178924.5
30318,2017,201709.5
30318,2018,232917.25
30318,2019,261288.5
30318,2020,282129.8333
30318,2021,310949
30188,2013,188326.4167
30188,2014,206373.25
30188,2015,213668.0833
30188,2016,233465.3333
30188,2017,245966.5833
30188,2018,265628.6667
30188,2019,282992.4167
30188,2020,297947.75
30188,2021,330274.1667
30052,2013,144232.8333
30052,2014,166106.4167
30052,2015,178470.0833
30052,2016,188880.4167
30052,2017,200622.4167
30052,2018,218151.6667
30052,2019,232681.3333
30052,2020,246545.5
30052,2021,274761.3333
30041,2013,288336.1667
30041,2014,315732.3333
30041,2015,332613.25
30041,2016,344182.0833
30041,2017,358645.25
30041,2018,376048.0833
30041,2019,383065.5833
30041,2020,396619.75
30041,2021,442407.1667
30080,2013,231088.4167
30080,2014,251542.4167
30080,2015,268345.9167
30080,2016,284493.9167
30080,2017,305270.1667
30080,2018,329616.6667
30080,2019,343390
30080,2020,355342.0833
30080,2021,388335.5
30062,2013,256467.25
30062,2014,280265.0833
30062,2015,294284.5833
30062,2016,314092.5
30062,2017,331273.6667
30062,2018,348157.6667
30062,2019,356392.1667
30062,2020,369735.5833
30062,2021,405234
30331,2013,100222
30331,2014,117433.25
30331,2015,129182.0833
30331,2016,137551.5
30331,2017,150872.25
30331,2018,166473.5833
30331,2019,182827.4167
30331,2020,198835.8333
30331,2021,222918.3333
30022,2013,334091.6667
30022,2014,364494
30022,2015,380353.25
30022,2016,396539.8333
30022,2017,414648.5833
30022,2018,435817.1667
30022,2019,440601.5833
30022,2020,451693.75
30022,2021,489315.3333
30004,2013,354153.25
30004,2014,386697.5
30004,2015,406052.5
30004,2016,424177.8333
30004,2017,444883.9167
30004,2018,467484.4167
30004,2019,477303.5833
30004,2020,495087.6667
30004,2021,541217.1667
30127,2013,148429.75
30127,2014,163900.8333
30127,2015,173899.5833
30127,2016,183913.1667
30127,2017,196171.9167
30127,2018,212158.1667
30127,2019,225485.9167
30127,2020,239407.25
30127,2021,269088.8333
30253,2013,127137.3333
30253,2014,145879.3333
30253,2015,154011.75
30253,2016,159705.0833
30253,2017,168232.0833
30253,2018,181358
30253,2019,193369.0833
30253,2020,210591.5833
30253,2021,235540.8333
30135,2013,122920.75
30135,2014,138276.5833
30135,2015,146988.75
30135,2016,154408
30135,2017,167690.8333
30135,2018,182305
30135,2019,195213.5833
30135,2020,209858.5833
30135,2021,238312.8333
30263,2013,134925
30263,2014,146509.25
30263,2015,154498.9167
30263,2016,163637.25
30263,2017,171311.5833
30263,2018,184016.75
30263,2019,195426.9167
30263,2020,208875.75
30263,2021,230932.8333
30066,2013,194026.0833
30066,2014,212633.3333
30066,2015,224281.3333
30066,2016,240645.3333
30066,2017,255833.0833
30066,2018,273292.8333
30066,2019,283385.8333
