Population Density (pop/sq mi)▼,Zip,Population
"70,985.00",30609,"1,659"
"60,332.00",30460,"1,112"
"36,821.50",30332,"3,100"
"13,771.50",31698,"1,156"
"10,810.10",30308,"17,238"
"10,108.40",30363,"3,229"
"8,624.10",30313,"9,590"
"8,521.40",30326,"5,895"
"7,675.10",31207,"1,320"
"7,003.00",30021,"24,878"
"6,889.70",30118,"2,524"
"6,207.60",30309,"21,444"
"6,044.00",30312,"20,264"
"5,883.30",30322,"2,431"
"5,676.50",30070,351
"5,343.60",30303,"5,582"
"5,141.40",30324,"27,282"
"5,137.30",30346,"5,172"
"5,053.30",30329,"27,602"
"5,040.10",30306,"22,195"
"4,546.40",30093,"55,116"
"4,546.30",30314,"21,226"
"4,061.70",30030,"26,470"
"3,963.00",30080,"54,252"
"3,948.00",30307,"18,052"
"3,804.80",31401,"20,027"
"3,649.20",30340,"31,120"
"3,636.50",30319,"38,121"
"3,544.10",30032,"48,419"
"3,538.70",30903,601
"3,469.10",30317,"12,320"
"3,465.90",30002,"5,925"
"3,463.70",30088,"27,150"
"3,422.30",30342,"30,844"
"3,388.80",30008,"32,050"
"3,385.80",30044,"83,574"
"3,382.50",30602,"2,454"
"3,377.00",30338,"33,447"
"3,344.90",30812,471
"3,337.80",30305,"21,574"
"3,268.40",30033,"30,312"
"3,253.90",30274,"34,554"
"3,246.80",30310,"28,660"
"3,224.40",30345,"23,216"
"3,192.20",31906,"21,939"
"3,130.00",30067,"47,196"
"3,128.30",30341,"31,865"
"3,113.30",30250,836
"3,080.40",30083,"53,914"
"3,047.20",30072,674
"3,014.70",30315,"34,159"
"2,977.60",30096,"69,371"
"2,966.60",30092,"33,080"
"2,918.30",30311,"36,381"
"2,722.10",30344,"32,963"
"2,696.00",30076,"43,219"
"2,674.50",30350,"35,433"
"2,593.30",30360,"15,501"
"2,586.60",30022,"66,674"
"2,565.30",30034,"44,085"
"2,552.20",30005,"38,030"
"2,533.80",30043,"83,409"
"2,523.00",30297,"27,838"
"2,521.80",30296,"26,830"
"2,520.60",30318,"51,791"
"2,518.70",30328,"33,080"
"2,500.00",30316,"31,438"
"2,474.40",30082,"26,152"
"2,473.00",31907,"57,084"
"2,452.00",30062,"63,984"
"2,406.00",30035,"20,708"
"2,356.10",30084,"36,214"
"2,334.70",30339,"20,060"
